41,41,,"27/04/2012","06/05/12","03:37:09 PM","03:35:38 PM","N         ","TRUE","12:00:00 AM",1,52,5,52,1,,2,9280,10000,"Y",,,,41,1,,,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
42,42,,"27/04/2012","05/05/12","03:38:44 PM","03:37:15 PM","N         ","TRUE","12:00:00 AM",5,17,4,17,1,,2,46400,30000,"Y",,,,42,1,,,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
43,43,,"27/04/2012","06/05/12","03:40:23 PM","03:38:48 PM","N         ","TRUE","12:00:00 AM",2,52,5,52,1,,2,23200,20000,"Y",,,,43,1,,,,10000,"Y      ","          ",,"          ",,"Y",,"N",0,,
44,44,,"27/04/2012","06/05/12","03:43:30 PM","03:41:00 PM","N         ","TRUE","12:00:00 AM",4,52,5,52,1,,2,41760,35000,"Y",,,,44,1,,,,9000,"Y      ","          ",,"          ",,"Y",,"N",0,,
45,45,,"27/04/2012","28/04/2012","03:45:52 PM","03:44:12 PM","N         ","TRUE","12:00:00 AM",3,53,5,53,1,,2,20880,20000,"Y",,,,45,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
46,46,,"27/04/2012","01/05/12","03:49:41 PM","03:44:12 PM","N         ","TRUE","12:00:00 AM",4,17,4,17,1,,2,37120,30000,"Y",,,,46,1,,,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
47,47,,"27/04/2012","06/05/12","03:51:56 PM","03:50:19 PM","N         ","TRUE","12:00:00 AM",2,53,5,53,1,,2,46400,40000,"Y",,,,47,1,,,,20000,"Y      ","          ",,"          ",,"Y",,"N",0,,
48,48,,"27/04/2012","05/05/12","04:00:08 PM","03:58:40 PM","N         ","TRUE","12:00:00 AM",2,53,5,53,1,,1,13920,13000,"Y",,,,48,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
49,49,,"27/04/2012","28/04/2012","08:23:55 PM","12:00:00 PM",,,,1,17,4,17,4,,2,5220,0,"Y",,,,49,1,,,,4500,"Y      ","          ",,"          ","Vip Guest Give Extra care--Only Room Rent B.T.C   ","Y",,"N",0,,
50,50,,"28/04/2012","28/04/2012","09:37:35 AM","09:35:25 AM","N         ","TRUE","12:00:00 AM",2,17,4,17,1,,2,18560,15000,"Y",,,,50,1,"LAHORE",,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
51,51,,"28/04/2012","28/04/2012","09:47:08 AM","09:45:29 AM","N         ","TRUE","12:00:00 AM",1,56,5,56,1,,2,9280,0,"Y",,,,51,1,"KARACHI",,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
52,52,,"28/04/2012","28/04/2012","10:41:49 AM","10:40:08 AM","N         ","TRUE","12:00:00 AM",1,53,5,53,1,,2,17400,15000,"Y",,,,52,1,"MULTAN",,,15000,"Y      ","          ",,"          ",,"Y",,"N",0,,
53,53,,"28/04/2012","28/04/2012","11:03:04 AM","02:00:10 AM","N         ","TRUE","12:00:00 AM",3,56,5,56,1,,2,20880,12000,"Y",,,,53,1,"MULTAN",,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
54,54,,"28/04/2012","28/04/2012","02:31:25 PM","02:29:37 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,9280,7000,"Y",,,,54,1,"KARACHI",,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
55,55,,"28/04/2012","05/05/12","03:24:43 PM","03:22:44 PM","N         ","TRUE","12:00:00 AM",1,57,5,57,1,,2,10280,6000,"Y",,,,55,1,"MULTAN",,,8000,"Y      ","          ",,"          ","ONLY Y                                         ","Y",,"N",0,,
56,56,,"28/04/2012","03/05/12","03:44:28 PM","03:41:28 PM","N         ","TRUE","12:00:00 AM",6,17,4,17,1,,2,56680,50000,"Y",,,,56,1,"M ULTAN",,,8000,"Y      ","          ",,"          ",,"Y",,"N",0,,
57,57,,"28/04/2012","01/05/12","05:47:32 PM","05:44:46 PM","N         ","TRUE","12:00:00 AM",2,17,4,17,1,,2,11600,12000,"Y",,,,57,1,,,,5000,"Y      ","          ",,"          ",,"Y",,"N",0,,
58,58,,"28/04/2012","30/04/2012","05:49:26 PM","05:47:59 PM","N         ","TRUE","12:00:00 AM",2,39,6,39,1,,2,11600,0,"Y",,,,58,1,,,,5000,"Y      ","          ",,"          ",,"Y",,"N",0,,
59,59,,"29/04/2012","29/04/2012","08:41:55 AM","08:39:26 AM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,6960,3000,"Y",,,,59,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
60,60,,"29/04/2012","30/04/2012","08:42:28 PM","08:37:52 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,8120,9000,"Y",,,,60,1,,,,7000,"Y      ","          ",,"          ",,"Y",,"N",0,,
61,61,,"30/04/2012","30/04/2012","05:31:51 PM","05:25:44 PM","N         ","TRUE","12:00:00 AM",1,17,4,17,1,,2,5800,3000,"Y",,,,61,1,,,,5000,"Y      ","          ",,"          ",,"Y",,"N",0,,
62,62,,"01/05/12","03/05/12","03:46:16 PM","03:41:37 PM","N         ","TRUE","12:00:00 AM",2,17,4,17,1,,2,13920,20000,"Y",,,,62,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
63,63,,"01/05/12","01/05/12","03:53:35 PM","03:51:46 PM","N         ","TRUE","12:00:00 AM",1,8,2,8,1,,2,6960,0,"Y",,,,63,1,,,,6000,"Y      ","          ",,"          ",,"Y",,"N",0,,
